,readability,sem_complexity,entropy,sem_coher,corpus_url,ent_name,kmeans,gmix,agg,cluster_vote,term_CEFR,term_CEFR_factor,corpus_CEFR,corpus_CEFR_factor
6048,8.336833855799238,5.362445414847161,0.12394006966680432,0.17160634330510072,https://www.investopedia.com/terms/w/widow-maker.asp,Widow Maker,1,1,1,1,B2,2.0,B2,3.0
6049,10.423151808525112,5.415397631133672,0.25259443753049127,0.16142769825179779,https://www.investopedia.com/terms/w/widows-allowance.asp,Widow's Allowance,2,2,2,2,B2,2.0,C2,5.0
6050,8.934164110429524,5.236914600550964,0.13940759499691885,0.17175906407956826,https://www.investopedia.com/terms/w/widows-exemption.asp,Widow's Exemption,1,1,1,1,C1,3.0,C1,4.0
6051,9.159191795609924,4.8650693568726355,0.13025650933408392,0.14115465450216225,https://www.investopedia.com/terms/w/wilcoxon-test.asp,Wilcoxon Test,1,1,2,1,C2,3.0,B2,3.0
6052,10.142476923076874,5.19434628975265,0.15536497757993287,0.22410379929792898,https://www.investopedia.com/terms/w/wildcardoption.asp,Wild Card Option,2,2,2,2,A2,1.0,C1,4.0
6053,9.278749999999906,5.106540084388186,0.17138400054453617,0.24632940934891265,https://www.investopedia.com/terms/w/wildcat-banking.asp,Wildcat Banking,1,1,2,1,A2,1.0,C2,5.0
6054,10.274366678047134,5.474331164135936,0.08876221053401072,0.1949579461579946,https://www.investopedia.com/terms/w/wildcatdrilling.asp,Wildcat Drilling,2,2,2,2,B2,2.0,B2,3.0
6055,16.5931531531532,5.4161735700197235,0.20218018927272333,0.2200012980123657,https://www.investopedia.com/terms/w/wildcatting.asp,Wildcatting,3,5,4,3,B2,2.0,C1,4.0
6056,4.185628883239779,5.282494969818914,0.09914324889008778,0.13696019558797515,https://www.investopedia.com/terms/w/wilders-dmi-adx.asp,Wilder's DMI (ADX) Indicator,0,0,0,0,C1,3.0,B2,3.0
6057,9.431818980667902,5.509569377990431,0.09385388979959663,0.15945588497500432,https://www.investopedia.com/terms/w/will.asp,Will,1,1,2,1,A1,1.0,B2,3.0
6058,12.5741530054644,5.3199498117942285,0.12095366259720251,0.18809965768142942,https://www.investopedia.com/terms/w/william-cavanaugh-iii.asp,William Cavanaugh III,4,4,3,4,A2,1.0,B2,3.0
6059,9.43685947336336,5.542521994134898,0.18381709640945076,0.1152850172815479,https://www.investopedia.com/terms/w/william-dillard-ii.asp,William T. Dillard II,1,1,2,1,C2,3.0,C1,4.0
6060,9.432783171521205,5.008575512148642,0.14521726278434133,0.14974195338176885,https://www.investopedia.com/terms/w/william-f-sharpe.asp,William F. Sharpe,1,1,2,1,B1,2.0,C1,4.0
6061,8.799545454545548,5.311965811965812,0.06833647127933137,0.20567204556444604,https://www.investopedia.com/terms/w/william-h-gross.asp,Bill Gross,1,1,1,1,B1,2.0,B2,3.0
6062,7.636646848989415,5.432242990654205,0.12844313571081262,0.12348015300682535,https://www.investopedia.com/terms/w/william-j-oneil.asp,William J. O'Neil,1,0,1,1,B1,2.0,B2,3.0
6063,4.051789473684249,5.05985686402082,0.20040691761519983,0.11061666852485352,https://www.investopedia.com/terms/w/williamsr.asp,Williams %R Definition and Uses,0,0,0,0,A2,1.0,B2,3.0
6064,11.433685567010265,5.017804154302671,0.09360626354910986,0.2599313104117897,https://www.investopedia.com/terms/w/williamsact.asp,Williams Act,2,3,2,2,C1,3.0,C2,5.0
6065,10.628516440422278,5.093561368209255,0.12537927693655349,0.14650157761069452,https://www.investopedia.com/terms/w/willie-sutton-rule.asp,Willie Sutton Rule,2,2,2,2,B1,2.0,C1,4.0
6066,7.519407530454064,5.325153374233129,0.1573308692048008,0.14287515364375436,https://www.investopedia.com/terms/w/wilshire5000equityindex.asp,Wilshire 5000 Total Market Index,1,0,1,1,C2,3.0,B2,3.0
6067,6.534947196234786,5.092491838955386,0.3127626103533797,0.20593120638436446,https://www.investopedia.com/terms/w/win-loss-ratio.asp,Win/Loss Ratio,0,0,1,0,A2,1.0,B2,3.0
6068,10.393220213396514,5.2004160887656035,0.11987493263990105,0.19807940250916983,https://www.investopedia.com/terms/w/windfall-profits.asp,Windfall Profits,2,2,2,2,A2,1.0,C1,4.0
6069,10.083992343032069,5.1055793991416305,0.09940257639486856,0.14843858246435934,https://www.investopedia.com/terms/w/windfalltax.asp,Windfall Tax,2,2,2,2,A2,1.0,B2,3.0
6070,9.289661592505652,5.708815028901734,0.13022452632128995,0.17239504711907655,https://www.investopedia.com/terms/w/windingup.asp,Winding Up,1,1,2,1,A2,1.0,B2,3.0
6071,12.520648881943796,5.059555854643338,0.12188973924310306,0.29053273394450263,https://www.investopedia.com/terms/w/windowdressing.asp,Window Dressing,4,4,3,4,B1,2.0,B2,3.0
6072,9.057252525252654,5.40305711987128,0.11869518068674165,0.15281474568214576,https://www.investopedia.com/terms/w/window-guaranteed-investment-contract.asp,Window Guaranteed Investment Contract,1,1,1,1,B1,2.0,B2,3.0
6073,12.58942302199361,5.392207792207792,0.10696995611084217,0.17392165642405347,https://www.investopedia.com/terms/w/window-of-opportunity.asp,Window of Opportunity,4,4,3,4,A1,1.0,C1,4.0
6074,9.193558052434373,5.547979797979798,0.13777427098105652,0.20120209953750146,https://www.investopedia.com/terms/w/windstorm-insurance.asp,Windstorm Insurance,1,1,2,1,A2,1.0,B2,3.0
6075,10.009149051490347,5.295214922952149,0.32165108366353223,0.18192425367954645,https://www.investopedia.com/terms/w/winner-takes-all-market.asp,Winner-Takes-All Market,2,2,2,2,A2,1.0,C1,4.0
6076,9.060344827586082,5.240515390121689,0.1605972021804241,0.13145593463235514,https://www.investopedia.com/terms/w/winnerscurse.asp,Winner's Curse,1,1,1,1,B1,2.0,C1,4.0
6077,4.678839040771987,4.789934354485776,0.2127632329357696,0.14287490020403953,https://www.investopedia.com/terms/w/winsorized_mean.asp,Winsorized Mean,0,0,0,0,C1,3.0,B2,3.0
6078,10.01350421348317,5.315327481431465,0.10727464380098821,0.16723255573385057,https://www.investopedia.com/terms/w/wirefraud.asp,Wire Fraud,2,2,2,2,B1,2.0,B2,3.0
6079,10.534939546722779,5.208729714605484,0.0974422392247006,0.15509967311276845,https://www.investopedia.com/terms/w/wire-room.asp,Wire Room,2,2,2,2,A2,1.0,C1,4.0
6080,10.755203415064027,5.0634974533106965,0.17053814747205137,0.24089748876816433,https://www.investopedia.com/terms/w/wiretransfer.asp,Wire Transfer,2,2,2,2,B1,2.0,C1,4.0
6081,10.29242504409164,5.441465594280608,0.1014420977595434,0.10085218097929345,https://www.investopedia.com/terms/w/wirehouse.asp,Wirehouse,2,2,2,2,C1,3.0,B2,3.0
6082,12.347402804333893,5.161795407098121,0.07914793167280229,0.22389519423692733,https://www.investopedia.com/terms/w/wire-house-broker.asp,Wirehouse Broker,4,4,3,4,A2,1.0,B2,3.0
6083,10.642151890769611,5.321314952279957,0.1814010100154685,0.22877006780351727,https://www.investopedia.com/terms/w/wisconsin-school-of-business.asp,Wisconsin School of Business,2,2,2,2,A2,1.0,C1,4.0
6084,10.956321839080307,5.058207217694994,0.12725683339206342,0.18490311055509806,https://www.investopedia.com/terms/w/wisdom-crowds.asp,Wisdom of Crowds,2,3,2,2,B1,2.0,B2,3.0
6085,10.392394781520938,5.152530779753762,0.11654849288786773,0.21723514714201703,https://www.investopedia.com/terms/w/witching-hour.asp,Witching Hour,2,2,2,2,A2,1.0,C1,4.0
6086,11.715149557785931,5.279329608938547,0.10614787712980658,0.17780941021570557,https://www.investopedia.com/terms/w/withapprovedcredit.asp,With Approved Credit (WAC),4,3,3,3,B1,2.0,C1,4.0
6087,12.236549925484457,5.2936046511627906,0.13342458304980498,0.2368469576739903,https://www.investopedia.com/terms/w/with-benefit-of-survivorship.asp,With Benefit of Survivorship,4,4,3,4,B1,2.0,C1,4.0
6088,8.835900784379277,5.2064095600217275,0.11225762685071063,0.21716757376012943,https://www.investopedia.com/terms/w/withdrawal.asp,Withdrawal,1,1,1,1,C2,3.0,C1,4.0
